AssetName,CurrentLocation,Category,VisualQuality,GeometryQuality,TexturePBRQuality,MaterialShader,Level01Usage,Classification,Reason,RecommendedTargetQuality,Priority
"HD_Tree_JungleCanopy_01","Assets/Art/Environment/HD/Trees/","Trees","Medium","CurvedQuadTrunk_890tris","512x512_ProceduralPBR","URPLit_Mat_HD_Bark_Canopy","Background_Midground_6_Instances","UPGRADE","Procedural quad trunk is clean but lacks photo-scanned bark crevices and alpha leaf cards","2K_PhotoPBR_AlphaCutoutCards_SSS","Critical"
"HD_Tree_CoconutPalm_01","Assets/Art/Environment/HD/Trees/","Trees","Medium","SegmentedTrunk_10Fronds_640tris","512x512_ProceduralPBR","URPLit_Mat_HD_Bark_Palm","Midground_Path_Border_3_Instances","UPGRADE","Procedural palm trunk needs fiber normal maps and natural wind curve deformation","2K_PalmFiberPBR_DrapedFronds","High"
"HD_Tree_TropicalMedium_01","Assets/Art/Environment/HD/Trees/","Trees","Medium","WindingTrunk_520tris","512x512_ProceduralPBR","URPLit_Mat_HD_Bark_Canopy","Midground_Forest_Density","UPGRADE","Good secondary canopy candidate; needs branch junction refinement","1K_BarkPBR_DenseFoliage","High"
"HD_Tree_TropicalSmall_01","Assets/Art/Environment/HD/Trees/","Trees","Medium","SaplingTrunk_340tris","512x512_ProceduralPBR","URPLit_Mat_HD_Bark_Canopy","Understory_Canopy_Fill","UPGRADE","Solid understory model; needs leaf translucency","1K_LeafTranslucencyPBR","Medium"
"HD_Tree_FallenLog_01","Assets/Art/Environment/HD/Trees/","Trees/Props","Medium","HollowCylinderMesh_410tris","512x512_ProceduralPBR","URPLit_Mat_HD_Bark_Canopy","Foreground_Platform_Obstacle_Z16","UPGRADE","Cylindrical base needs splintered ends and polypore mushroom attachments","2K_WeatheredBark_DecalMoss","High"
"Tree_JungleCanopy_Original","Assets/Art/Environment/Trees/","Trees","Low","Cylinder_3Spheres_160tris","UntexturedSolidColor","URPLit_Mat_JungleWood","Hidden_By_HD_Layer","IGNORE","Obsolete low-poly primitive placeholder; preserved as anchor","Disabled_Renderer","Low"
"Tree_CoconutPalm_Original","Assets/Art/Environment/Trees/","Trees","Low","Cylinder_6Cubes_96tris","UntexturedSolidColor","URPLit_Mat_JungleWood","Hidden_By_HD_Layer","IGNORE","Obsolete low-poly primitive placeholder; preserved as anchor","Disabled_Renderer","Low"
"HD_Rock_MossyBoulder_01","Assets/Art/Environment/HD/Rocks/","Rocks","Medium","SculptedMesh_680tris","512x512_ProceduralGranitePBR","URPLit_Mat_HD_Rock_MossyGranite","Midground_Path_Obstacles_2_Instances","UPGRADE","Sculpted silhouette is sound; needs 2K photogrammetric rock normal maps and top moss blending","2K_PhotogrammetryPBR_TriplanarMoss","Critical"
"HD_Rock_MossyMedium_01","Assets/Art/Environment/HD/Rocks/","Rocks","Medium","SculptedRiverStone_420tris","512x512_ProceduralPBR","URPLit_Mat_HD_Rock_MossyGranite","Stream_Edge_Pathway_Detail","UPGRADE","Needs wet-look roughness map for near-water placement","1K_WetStonePBR","Medium"
"HD_Rock_ClusterSmall_01","Assets/Art/Environment/HD/Rocks/","Rocks","Medium","5RockComposite_380tris","512x512_ProceduralPBR","URPLit_Mat_HD_Rock_MossyGranite","Path_Edges_Step_Transitions","UPGRADE","Good pebble scatter; needs soil embedding and debris blending","1K_PebbleScatterPBR","Medium"
"HD_Rock_Cliff_01","Assets/Art/Environment/HD/Rocks/","Rocks","Medium","StratifiedWall_720tris","512x512_ProceduralBasaltPBR","URPLit_Mat_HD_Rock_CliffBasalt","Background_Boundary_Silhouette","UPGRADE","Needs pronounced horizontal basalt fissures and hanging moss drips","2K_BasaltStrataPBR","High"
"HD_Rock_BrokenFormation_01","Assets/Art/Environment/HD/Rocks/","Rocks","Medium","FracturedColumn_560tris","512x512_ProceduralBasaltPBR","URPLit_Mat_HD_Rock_CliffBasalt","Midground_Landmark_Feature","UPGRADE","Needs sharp columnar basalt cleavage angles","1K_BasaltColumnPBR","Medium"
"Rock_MossyBoulder_Original","Assets/Art/Environment/Rocks/","Rocks","Low","SingleSpherePrimitive_112tris","FlatGrayGreenMaterial","URPLit_Mat_MossyRock","Hidden_By_HD_Layer","IGNORE","Obsolete low-poly placeholder; preserved for collision","Disabled_Renderer","Low"
"Rock_CliffFormation_Original","Assets/Art/Environment/Rocks/","Rocks","Low","SingleScaledBox_12tris","FlatStoneMaterial","URPLit_Mat_MossyRock","Hidden_By_HD_Layer","IGNORE","Obsolete low-poly placeholder; preserved for boundary collision","Disabled_Renderer","Low"
"HD_Plant_JungleFern_01","Assets/Art/Environment/HD/Plants/","Plants","Medium","8FrondCurvedMesh_384tris","512x512_FernPBR","URPLit_Mat_HD_Foliage_Fern","Foreground_Density_Z6","UPGRADE","Good curved profile; needs alpha-cutout leaflets and two-sided subsurface transmission","1K_AlphaCutout_Fiddleheads","Critical"
"HD_Plant_BroadLeaf_01","Assets/Art/Environment/HD/Plants/","Plants","Medium","6CurvedBlades_280tris","512x512_BroadleafPBR","URPLit_Mat_HD_Foliage_BroadLeaf","Foreground_Edge_Framing","UPGRADE","Needs photorealistic Monstera venation maps and rain droplet highlights","1K_MonsteraPBR_WaxSheen","High"
